feature,mutual_information,rf_importance,l1_abs_coef,mi_norm,rf_norm,l1_norm,consensus_score,selected_by_l1
sensor_3_max_10,0.34628540803641683,0.0018572844832359776,0.0,0.9472262213850632,0.020979098088104237,0.0,0.3227351064910558,False
sensor_20_mean_5,0.2764537399801026,0.006276430685093247,6.4836328619892525,0.7562092581203497,0.07089589999499751,0.14103952297710018,0.32271489369748246,True
sensor_11_min_10,0.2878213842457118,0.0013937241151323223,7.287220219648513,0.7873042175782724,0.015742916706100698,0.15852008981473528,0.32052240803303617,True
sensor_15_max_20,0.3401896814539944,0.002721500952110074,0.0,0.9305520216548302,0.030740920917892656,0.0,0.32043098085757427,False
sensor_17_mean_20,0.2771531795719804,0.006500850413343999,5.653801426387485,0.7581224993552557,0.07343085009788923,0.12298806443218085,0.31818047129510857,True
sensor_2_mean_5,0.28366814379689465,0.015613030519261953,0.0,0.7759434782414796,0.17635817327535652,0.0,0.3174338838389454,False
sensor_3_ewm_10,0.2882321582475067,0.013909095069357946,0.0,0.7884278453619833,0.15711124085224623,0.0,0.31517969540474317,False
sensor_15_mean_20,0.28242894740858815,0.015210853947757933,0.0,0.7725537907605501,0.17181535723480046,0.0,0.3147897159984502,False
sensor_21_min_5,0.3339367012548182,0.001685334966071263,0.0,0.9134476716908883,0.019036829243799045,0.0,0.31082816697822907,False
sensor_12_min_5,0.28001060739779104,0.0019447622447384967,6.343147095766747,0.7659386836342033,0.021967209794013516,0.1379835131944896,0.3086298022075688,True
sensor_3_min_20,0.33177654163582826,0.0015377327275556314,0.0,0.9075387890582441,0.017369576936576835,0.0,0.3083027886649403,False
sensor_15_min_20,0.322101325346589,0.002598713871341476,0.0,0.8810732829928671,0.02935397011167677,0.0,0.303475751034848,False
sensor_2_ewm_10,0.29044744714620574,0.007622522938469949,1.2379800069408147,0.7944875281672441,0.08610078738522889,0.026929980976829884,0.3025060988431009,True
sensor_7_lag_3,0.2107663629161658,0.00047079026467326395,14.600346159212041,0.5765285539238122,0.005317847228388257,0.3176037109794044,0.29981670404386823,True
sensor_4_mean_20,0.27615105682359564,0.0014794697139470917,5.291583547540375,0.7553813011346923,0.01671146263667569,0.1151086798442788,0.2957338145385489,True
sensor_2_max_10,0.26308635650430356,0.0025685724804530396,6.242059290772344,0.7196442286800833,0.02901350573927289,0.1357845336873683,0.2948140893689081,True
sensor_11_lag_3,0.24977545864324857,0.0005151528204167511,8.960903686446455,0.6832337095199931,0.005818947849635067,0.1949279992069732,0.2946602188588671,True
sensor_7_mean_10,0.27234761913017036,0.001122368266765774,5.707886033501024,0.7449774093419492,0.012677796089928913,0.12416457571066758,0.2939399270475152,True
sensor_15_max_5,0.30617454751597095,0.0022188381485511886,0.8331512683289247,0.8375073075482733,0.02506305500328065,0.01812367540762093,0.29356467931972496,True
sensor_15_min_5,0.31298159924481017,0.0016344788759216355,0.0,0.8561272601603191,0.018462380410969943,0.0,0.2915298801904297,False
sensor_2,0.19097956583877318,0.0006267689163988081,15.65431202191215,0.5224039139766372,0.007079715947874392,0.34053080226812416,0.2900048107308786,True
sensor_3_min_5,0.3000038379081913,0.001963676881074765,1.1098437292222767,0.8206279998749134,0.022180861506813067,0.024142611631561457,0.28898382433776265,True
sensor_3_max_5,0.31004355442576004,0.0013548187415333187,0.0,0.8480905568294177,0.01530345810067168,0.0,0.28779800497669644,False
sensor_7_mean_5,0.2715380100028837,0.010369034830985934,0.0,0.7427628112773437,0.1171242212820364,0.0,0.2866290108531267,False
sensor_12_min_10,0.2846919282975804,0.005751749855927313,0.0,0.7787439298388947,0.06496932779812989,0.0,0.2812377525456749,False
sensor_17_max_10,0.24805072097832648,0.0032083243103361954,5.845164135512125,0.6785158764744469,0.03623987117348927,0.12715080865059178,0.280635518766176,True
sensor_12_max_5,0.2700568369751801,0.0011496776537637577,4.035532068318187,0.7387112229121141,0.012986271347073407,0.08778558718387391,0.2798276938143538,True
sensor_20_ewm_10,0.2819281783504377,0.00525053523810372,0.0,0.7711839912491352,0.05930781997559517,0.0,0.2768306037415768,False
sensor_17_max_5,0.2420293066053132,0.0021335850326574687,6.531367798112198,0.6620449497429824,0.024100071950983418,0.14207790882704432,0.27607431017367007,True
